,調價日期,無鉛汽油92,無鉛汽油95,無鉛汽油98,超級/高級柴油,二行程無鉛,煤油,甲種漁船油(KL),乙種漁船油(KL),低硫燃料油(0.5%)(KL),甲種低硫燃料油/低硫鍋爐油(0.5%)(KL),特種低硫燃料油(KL),低硫鍋爐油(1%)(KL)
0,2023/7/10,29.1,30.6,32.6,27.3,,,20093,16178,,,,
1,2023/7/6,,,,,,,,,19987,,23987,
2,2023/7/3,28.8,30.3,32.3,27.1,,,19893,15978,,,,
3,2023/6/27,,,,,,38.9,,,,,,
4,2023/6/26,28.9,30.4,32.4,26.9,,,19693,15778,,,,
5,2023/6/19,28.5,30,32,27.2,,,19993,16078,,,,
6,2023/6/12,28.8,30.3,32.3,27,,,19793,15878,,,,
7,2023/6/6,,,,,,38,,,20204,,24204,
8,2023/6/5,28.5,30,32,27,,,19793,15878,,,,
9,2023/5/29,28.9,30.4,32.4,27.1,,,19893,15978,,,,
10,2023/5/22,28.6,30.1,32.1,27.4,,,20193,16278,,,,
11,2023/5/15,28.8,30.3,32.3,27.6,,,20393,16478,,,,
12,2023/5/9,,,,,,38.9,,,,,,
13,2023/5/8,28.6,30.1,32.1,27.3,,,20093,16178,,,,
14,2023/5/6,,,,,,,,,20651,,24651,
15,2023/5/3,,,,,,40.1,,,,,,
16,2023/5/1,29.6,31.1,33.1,27.5,,,20293,16378,,,,
17,2023/4/25,,,,,,40.8,,,,,,
18,2023/4/24,29.6,31.1,33.1,27.4,,,20193,16278,,,,
19,2023/4/17,29.8,31.3,33.3,27.6,,,20393,16478,,,,
20,2023/4/11,,,,,,41.4,,,,,,
21,2023/4/10,29.5,31,33,27.8,,,20593,16678,,,,
22,2023/4/6,,,,,,,,,21533,,24682,
23,2023/4/3,28.9,30.4,32.4,27.7,,,20493,16578,,,,
24,2023/3/28,,,,,,40.6,,,,,,
25,2023/3/27,28.4,29.9,31.9,27.1,,,19893,15978,,,,
26,2023/3/21,,,,,,41.6,,,,,,
27,2023/3/20,28.9,30.4,32.4,27.6,,,20393,16478,,,,
28,2023/3/13,29.2,30.7,32.7,27.1,,,19893,15978,,,,
29,2023/3/6,28.9,30.4,32.4,27.1,,,19893,15978,22492,,24640,
30,2023/3/2,,,,,,42.6,,,,,,
31,2023/2/27,29,30.5,32.5,27.3,,,20093,16178,,,,
32,2023/2/20,29.1,30.6,32.6,27.4,,,20193,16278,,,,
33,2023/2/14,,,,,,43.6,,,,,,
34,2023/2/13,29.2,30.7,32.7,27.5,,,20293,16378,,,,
35,2023/2/6,29.5,31,33,27.9,,,20693,16778,23790,,25567,
36,2023/1/30,29.6,31.1,33.1,28.2,,,20993,17078,,,,
37,2023/1/23,29.1,30.6,32.6,27.8,,,20593,16678,,,,
38,2023/1/16,29.1,30.6,32.6,27.8,,,20593,16678,,,,
39,2023/1/9,29.1,30.6,32.6,27.8,,,20593,16678,,,,
40,2023/1/6,,,,,,,,,24544,,26670,
41,2023/1/2,29.5,31,33,27.8,,,20593,16678,,,,
42,2022/12/26,29.1,30.6,32.6,27.9,,,20693,16778,,,,
43,2022/12/19,29,30.5,32.5,27.3,,,20093,16178,,,,
44,2022/12/13,,,,,,44.1,,,,,,
45,2022/12/12,28.9,30.4,32.4,27.3,,,20093,16178,,,,
46,2022/12/6,,,,,,46.7,,,25239,,27824,
47,2022/12/5,29.3,30.8,32.8,27.1,,,19893,15978,,,,
48,2022/11/29,,,,,,47.7,,,,,,
49,2022/11/28,29.1,30.6,32.6,26.9,,,19693,15778,,,,
50,2022/11/22,,,,,,48.6,,,,,,
51,2022/11/21,29.2,30.7,32.7,27,,,19793,15878,,,,
