,幣種,即期買入,即期賣出,網銀買入,網銀賣出,現金買入,現金賣出
0,美元USD,31.35,31.45,31.385,31.415,31.1,31.65
1,人民幣CNY,4.312,4.362,4.327,4.347,4.237,4.397
2,港幣HKD,3.98,4.04,4.003,4.017,3.91,4.07
3,日圓JPY,0.2187,0.2227,0.2199,0.2215,0.2177,0.2247
4,歐元EUR,34.18,34.58,34.3,34.46,33.88,34.88
5,澳幣AUD,20.77,20.97,20.82,20.92,20.47,21.27
6,加拿大幣CAD,23.55,23.73,23.6,23.68,23.24,24.04
7,英鎊GBP,40,40.4,40.12,40.28,39.7,40.7
8,南非幣ZAR,1.617,1.717,1.642,1.692,,
9,紐西蘭幣NZD,19.29,19.53,19.35,19.47,,
10,瑞士法郎CHF,35.15,35.35,35.21,35.29,,
11,瑞典幣SEK,2.866,2.926,2.881,2.911,,
12,新加坡幣SGD,23.2,23.36,23.25,23.31,,
13,墨西哥披索MXN,1.795,1.875,1.825,1.845,,
14,泰銖THB,0.873,0.913,0.883,0.903,,
